Anio,Mes,Alliance,region_norm,usuarios_activos,horas_totales,registros
2023,1,512,SAN JUAN DE LA MAGUANA,23,1629.6,133
2023,1,512,SAN PEDRO DE MACORIS,26,2336.7,155
2023,1,512,SANTIAGO,38,2001.8,187
2023,1,512,SANTO DOMINGO,192,16390.1,1096
2023,1,512,Sin ubicación,2009,147847.6,11074
2023,1,IQ Primaria,AZUA,3,14.8,3
2023,1,IQ Primaria,BARAHONA,6,26.4,11
2023,1,IQ Primaria,MAO,4,8.8,5
2023,1,IQ Primaria,SAN CRISTOBAL,1,0.5,2
2023,1,IQ Primaria,SAN JUAN DE LA MAGUANA,1,0.2,1
2023,1,IQ Primaria,SAN PEDRO DE MACORIS,1,0.4,1
2023,1,IQ Primaria,SANTIAGO,3,37.2,4
2023,1,IQ Primaria,SANTO DOMINGO,24,69.4,35
2023,1,IQ Primaria,Sin ubicación,60,948.9,112
2023,1,IQ Secundaria,AZUA,5,10.2,7
2023,1,IQ Secundaria,BAHORUCO,1,0.6,1
2023,1,IQ Secundaria,BARAHONA,7,38.5,13
2023,1,IQ Secundaria,COTUI,2,0.9,2
2023,1,IQ Secundaria,HIGUEY,8,17.7,13
2023,1,IQ Secundaria,LA VEGA,16,84.6,19
2023,1,IQ Secundaria,MAO,6,5.5,6
2023,1,IQ Secundaria,MONTE CRISTI,14,21.1,16
2023,1,IQ Secundaria,MONTE PLATA,2,10.0,2
2023,1,IQ Secundaria,NAGUA,4,3.4,6
2023,1,IQ Secundaria,PUERTO PLATA,4,10.4,4
2023,1,IQ Secundaria,SAN CRISTOBAL,11,53.8,15
2023,1,IQ Secundaria,SAN FRANCISCO DE MACORIS,10,18.2,19
2023,1,IQ Secundaria,SAN JUAN DE LA MAGUANA,28,158.2,50
2023,1,IQ Secundaria,SAN PEDRO DE MACORIS,29,47.7,34
2023,1,IQ Secundaria,SANTIAGO,171,765.4,290
2023,1,IQ Secundaria,SANTO DOMINGO,203,907.4,304
2023,1,IQ Secundaria,Sin ubicación,131,503.5,192
2023,2,512,AZUA,36,3244.1,344
2023,2,512,BAHORUCO,19,1406.0,169
2023,2,512,BARAHONA,34,2474.3,291
2023,2,512,COTUI,35,3650.5,329
2023,2,512,HIGUEY,14,892.8,102
2023,2,512,LA VEGA,54,4904.8,507
2023,2,512,MAO,13,1304.5,153
2023,2,512,MONTE CRISTI,15,1482.7,160
2023,2,512,MONTE PLATA,9,526.9,61
2023,2,512,NAGUA,14,2867.9,220
2023,2,512,PUERTO PLATA,15,1726.6,173
2023,2,512,SAN CRISTOBAL,48,3481.7,429
2023,2,512,SAN FRANCISCO DE MACORIS,24,2838.7,293
2023,2,512,SAN JUAN DE LA MAGUANA,21,1616.0,175
2023,2,512,SAN PEDRO DE MACORIS,27,1826.8,210
