Anio,Semestre,Programa,Rol,Grado,region_norm,usuarios_activos,horas_totales,registros
2023,S1,IQ512,Estudiante,No especificado,BARAHONA,62,17000.5,1917
2023,S1,IQ512,Estudiante,No especificado,COTUI,51,16329.5,1624
2023,S1,IQ512,Estudiante,No especificado,HIGUEY,28,5732.2,551
2023,S1,IQ512,Estudiante,No especificado,LA VEGA,87,20361.0,2211
2023,S1,IQ512,Estudiante,No especificado,MAO,16,5288.0,606
2023,S1,IQ512,Estudiante,No especificado,MONTE CRISTI,24,6295.8,704
2023,S1,IQ512,Estudiante,No especificado,MONTE PLATA,24,5485.6,551
2023,S1,IQ512,Estudiante,No especificado,NAGUA,25,9292.3,907
2023,S1,IQ512,Estudiante,No especificado,PUERTO PLATA,20,7322.4,770
2023,S1,IQ512,Estudiante,No especificado,SAN CRISTOBAL,77,19965.8,2181
2023,S1,IQ512,Estudiante,No especificado,SAN FRANCISCO DE MACORIS,33,9751.0,1070
2023,S1,IQ512,Estudiante,No especificado,SAN JUAN DE LA MAGUANA,31,7962.6,808
2023,S1,IQ512,Estudiante,No especificado,SAN PEDRO DE MACORIS,35,9477.7,1031
2023,S1,IQ512,Estudiante,No especificado,SANTIAGO,66,13268.3,1451
2023,S1,IQ512,Estudiante,No especificado,SANTO DOMINGO,337,78427.7,7920
2023,S1,IQ512,Estudiante,No especificado,Sin ubicación,3101,763998.6,81096
2023,S1,IQ512,Sin rol,No especificado,Sin ubicación,1,4.4,1
2023,S1,IQP,Admin,No especificado,Sin ubicación,2,46.1,15
2023,S1,IQP,Docente,1er grado,Sin ubicación,2,825.3,89
2023,S1,IQP,Docente,3er grado,AZUA,1,6.8,1
2023,S1,IQP,Docente,3er grado,BARAHONA,2,2.0,2
2023,S1,IQP,Docente,3er grado,MAO,1,1.1,2
2023,S1,IQP,Docente,3er grado,SAN CRISTOBAL,1,0.5,2
2023,S1,IQP,Docente,3er grado,SANTIAGO,2,36.4,3
2023,S1,IQP,Docente,3er grado,SANTO DOMINGO,1,0.3,1
2023,S1,IQP,Docente,3er grado,Sin ubicación,12,37.4,15
2023,S1,IQP,Docente,4to grado,AZUA,21,31.2,28
2023,S1,IQP,Docente,4to grado,BAHORUCO,6,24.8,8
2023,S1,IQP,Docente,4to grado,BARAHONA,14,91.2,25
2023,S1,IQP,Docente,4to grado,COTUI,15,64.2,24
2023,S1,IQP,Docente,4to grado,HIGUEY,20,205.8,43
2023,S1,IQP,Docente,4to grado,LA VEGA,37,202.1,70
2023,S1,IQP,Docente,4to grado,MAO,11,11.7,14
2023,S1,IQP,Docente,4to grado,MONTE CRISTI,35,256.0,63
2023,S1,IQP,Docente,4to grado,MONTE PLATA,16,31.1,20
2023,S1,IQP,Docente,4to grado,NAGUA,10,33.5,15
2023,S1,IQP,Docente,4to grado,PUERTO PLATA,22,99.5,50
2023,S1,IQP,Docente,4to grado,SAN CRISTOBAL,20,67.4,33
2023,S1,IQP,Docente,4to grado,SAN FRANCISCO DE MACORIS,25,118.1,37
2023,S1,IQP,Docente,4to grado,SAN JUAN DE LA MAGUANA,10,27.0,12
2023,S1,IQP,Docente,4to grado,SAN PEDRO DE MACORIS,34,144.0,55
2023,S1,IQP,Docente,4to grado,SANTIAGO,68,351.1,110
2023,S1,IQP,Docente,4to grado,SANTO DOMINGO,229,1206.1,373
2023,S1,IQP,Docente,4to grado,Sin ubicación,483,1784.1,708
2023,S1,IQP,Docente,6to grado,AZUA,1,0.4,1
2023,S1,IQP,Docente,6to grado,BAHORUCO,3,17.5,3
2023,S1,IQP,Docente,6to grado,BARAHONA,2,23.2,10
2023,S1,IQP,Docente,6to grado,COTUI,1,13.3,5
2023,S1,IQP,Docente,6to grado,HIGUEY,1,0.1,1
2023,S1,IQP,Docente,6to grado,LA VEGA,8,68.1,12
2023,S1,IQP,Docente,6to grado,MAO,7,126.8,27
2023,S1,IQP,Docente,6to grado,MONTE CRISTI,4,15.1,8
2023,S1,IQP,Docente,6to grado,NAGUA,2,2.5,2
2023,S1,IQP,Docente,6to grado,PUERTO PLATA,6,24.1,12
