Anio,Programa,Rol,Grado,region_norm,usuarios_activos,horas_totales,registros
2023,IQP,Docente,5to grado,BAHORUCO,48,246.4,96
2023,IQP,Docente,5to grado,BARAHONA,9,20.8,11
2023,IQP,Docente,5to grado,COTUI,82,940.7,215
2023,IQP,Docente,5to grado,HIGUEY,233,2684.3,828
2023,IQP,Docente,5to grado,LA VEGA,91,906.8,186
2023,IQP,Docente,5to grado,MAO,27,86.7,50
2023,IQP,Docente,5to grado,MONTE CRISTI,39,216.8,74
2023,IQP,Docente,5to grado,MONTE PLATA,12,19.9,15
2023,IQP,Docente,5to grado,NAGUA,40,555.5,134
2023,IQP,Docente,5to grado,PUERTO PLATA,50,686.2,186
2023,IQP,Docente,5to grado,SAN CRISTOBAL,192,1760.8,417
2023,IQP,Docente,5to grado,SAN FRANCISCO DE MACORIS,67,585.7,184
2023,IQP,Docente,5to grado,SAN JUAN DE LA MAGUANA,58,168.3,105
2023,IQP,Docente,5to grado,SAN PEDRO DE MACORIS,342,4476.8,1065
2023,IQP,Docente,5to grado,SANTIAGO,353,4700.9,1081
2023,IQP,Docente,5to grado,SANTO DOMINGO,976,9455.3,2608
2023,IQP,Docente,5to grado,Sin ubicación,514,2766.4,953
2023,IQP,Docente,6to grado,AZUA,6,23.4,10
2023,IQP,Docente,6to grado,BAHORUCO,4,20.3,6
2023,IQP,Docente,6to grado,BARAHONA,7,30.8,18
2023,IQP,Docente,6to grado,COTUI,38,793.7,134
2023,IQP,Docente,6to grado,HIGUEY,29,624.4,129
2023,IQP,Docente,6to grado,LA VEGA,107,1231.0,275
2023,IQP,Docente,6to grado,MAO,21,450.6,103
2023,IQP,Docente,6to grado,MONTE CRISTI,10,42.9,20
2023,IQP,Docente,6to grado,MONTE PLATA,28,256.2,62
2023,IQP,Docente,6to grado,NAGUA,32,637.5,112
2023,IQP,Docente,6to grado,PUERTO PLATA,48,527.0,144
2023,IQP,Docente,6to grado,SAN CRISTOBAL,143,2381.9,567
2023,IQP,Docente,6to grado,SAN FRANCISCO DE MACORIS,92,936.0,263
2023,IQP,Docente,6to grado,SAN JUAN DE LA MAGUANA,8,22.8,17
2023,IQP,Docente,6to grado,SAN PEDRO DE MACORIS,47,944.9,168
2023,IQP,Docente,6to grado,SANTIAGO,87,1629.6,368
2023,IQP,Docente,6to grado,SANTO DOMINGO,327,2772.1,812
2023,IQP,Docente,6to grado,Sin ubicación,390,2265.9,761
2023,IQP,Docente,No especificado,AZUA,1,0.2,1
2023,IQP,Docente,No especificado,COTUI,4,32.8,7
2023,IQP,Docente,No especificado,HIGUEY,1,7.8,2
2023,IQP,Docente,No especificado,LA VEGA,11,87.4,24
2023,IQP,Docente,No especificado,MAO,5,28.5,12
2023,IQP,Docente,No especificado,NAGUA,3,3.8,3
2023,IQP,Docente,No especificado,PUERTO PLATA,1,45.9,6
2023,IQP,Docente,No especificado,SAN CRISTOBAL,9,73.2,19
2023,IQP,Docente,No especificado,SAN FRANCISCO DE MACORIS,3,7.1,8
2023,IQP,Docente,No especificado,SAN JUAN DE LA MAGUANA,1,0.9,1
2023,IQP,Docente,No especificado,SAN PEDRO DE MACORIS,6,26.8,10
2023,IQP,Docente,No especificado,SANTIAGO,10,56.5,24
2023,IQP,Docente,No especificado,SANTO DOMINGO,39,198.7,81
2023,IQP,Docente,No especificado,Sin ubicación,51,381.8,96
2023,IQP,Estudiante,1er grado,AZUA,2,2.1,2
2023,IQP,Estudiante,1er grado,BAHORUCO,1,0.8,1
2023,IQP,Estudiante,1er grado,BARAHONA,1,0.1,3
2023,IQP,Estudiante,1er grado,COTUI,4,4.8,4
2023,IQP,Estudiante,1er grado,HIGUEY,3,6.9,3
2023,IQP,Estudiante,1er grado,LA VEGA,2,0.7,2
2023,IQP,Estudiante,1er grado,MAO,1,0.3,1
2023,IQP,Estudiante,1er grado,MONTE CRISTI,1,1.9,2
2023,IQP,Estudiante,1er grado,NAGUA,1,1.6,1
2023,IQP,Estudiante,1er grado,SAN CRISTOBAL,6,3.1,7
2023,IQP,Estudiante,1er grado,SAN FRANCISCO DE MACORIS,1,0.8,1
2023,IQP,Estudiante,1er grado,SAN JUAN DE LA MAGUANA,1,0.2,1
2023,IQP,Estudiante,1er grado,SAN PEDRO DE MACORIS,5,5.8,5
2023,IQP,Estudiante,1er grado,SANTIAGO,9,38.7,15
2023,IQP,Estudiante,1er grado,SANTO DOMINGO,71,307.5,130
2023,IQP,Estudiante,1er grado,Sin ubicación,53,524.5,187
2023,IQP,Estudiante,2do grado,AZUA,20,23.6,26
2023,IQP,Estudiante,2do grado,BAHORUCO,10,23.4,11
2023,IQP,Estudiante,2do grado,BARAHONA,25,24.7,30
2023,IQP,Estudiante,2do grado,COTUI,22,36.8,24
2023,IQP,Estudiante,2do grado,HIGUEY,43,87.9,50
2023,IQP,Estudiante,2do grado,LA VEGA,58,238.5,86
2023,IQP,Estudiante,2do grado,MAO,4,14.5,5
2023,IQP,Estudiante,2do grado,MONTE CRISTI,32,92.7,40
