Anio,Mes,Programa,Rol,Grado,region_norm,usuarios_activos,horas_totales,registros
2022,7,IQP,Estudiante,6to grado,SANTO DOMINGO,19,34.7,23
2022,7,IQP,Estudiante,6to grado,Sin ubicación,37,19.4,42
2022,7,IQP,Parent,No especificado,Sin ubicación,1,0.0,1
2022,7,IQP,Sin rol,No especificado,Sin ubicación,1,121.6,15
2022,8,IQP,Admin,No especificado,Sin ubicación,1,0.1,4
2022,8,IQP,Docente,6to grado,BARAHONA,1,36.5,5
2022,8,IQP,Docente,6to grado,COTUI,1,0.5,1
2022,8,IQP,Docente,6to grado,HIGUEY,1,1.5,1
2022,8,IQP,Docente,6to grado,MAO,2,1.4,2
2022,8,IQP,Docente,6to grado,SANTO DOMINGO,2,1.6,3
2022,8,IQP,Docente,6to grado,Sin ubicación,2,15.2,5
2022,8,IQP,Estudiante,1er grado,HIGUEY,1,0.7,1
2022,8,IQP,Estudiante,1er grado,SANTO DOMINGO,5,21.5,10
2022,8,IQP,Estudiante,1er grado,Sin ubicación,2,4.9,2
2022,8,IQP,Estudiante,2do grado,AZUA,1,4.1,3
2022,8,IQP,Estudiante,2do grado,SANTO DOMINGO,1,1.7,3
2022,8,IQP,Estudiante,2do grado,Sin ubicación,1,18.3,5
2022,8,IQP,Estudiante,3er grado,SANTO DOMINGO,8,10.0,9
2022,8,IQP,Estudiante,3er grado,Sin ubicación,4,41.9,12
2022,8,IQP,Estudiante,4to grado,SANTO DOMINGO,3,18.3,5
2022,8,IQP,Estudiante,4to grado,Sin ubicación,3,27.0,8
2022,8,IQP,Estudiante,5to grado,BARAHONA,1,7.5,7
2022,8,IQP,Estudiante,5to grado,LA VEGA,1,0.7,2
2022,8,IQP,Estudiante,5to grado,SANTO DOMINGO,3,5.6,4
2022,8,IQP,Estudiante,5to grado,Sin ubicación,4,7.9,6
2022,8,IQP,Estudiante,6to grado,NAGUA,2,1.8,2
2022,8,IQP,Estudiante,6to grado,SANTIAGO,1,20.4,7
2022,8,IQP,Estudiante,6to grado,SANTO DOMINGO,3,11.3,8
2022,8,IQP,Estudiante,6to grado,Sin ubicación,8,28.0,10
2022,8,IQP,Parent,No especificado,Sin ubicación,1,1.9,3
2022,8,IQP,Sin rol,No especificado,Sin ubicación,1,109.5,16
2022,8,IQS,Admin,No especificado,Sin ubicación,1,1.6,1
2022,8,IQS,Editor,No especificado,SANTIAGO,1,376.9,10
2022,8,IQS,Estudiante,6to grado,AZUA,1,1.6,1
2022,8,IQS,Estudiante,6to grado,SANTO DOMINGO,1,12.3,4
2022,9,IQ512,Admin,No especificado,Sin ubicación,1,0.2,1
2022,9,IQP,Admin,No especificado,Sin ubicación,1,1.4,4
2022,9,IQP,Docente,6to grado,BARAHONA,3,27.8,7
2022,9,IQP,Docente,6to grado,LA VEGA,3,1.7,3
2022,9,IQP,Docente,6to grado,MAO,6,2.5,6
2022,9,IQP,Docente,6to grado,MONTE CRISTI,1,0.4,2
2022,9,IQP,Docente,6to grado,NAGUA,1,1.8,1
